Name,DOB,Aadhaar/SSN,Address,Pension Scheme,Pension Type,Amount,Date of Disbursement,Frequency,Bank Account,IFSC,District,State,Region,benefit_count_per_person,benefit_amount_total,Pension Scheme_Disability Pension,Pension Scheme_Farmer Pension,Pension Scheme_Old Age Pension,Pension Scheme_Widow Pension,Pension Type_Central,Pension Type_State,Frequency_Monthly,Frequency_Quarterly,District_DistrictA,District_DistrictB,District_DistrictC,State_State1,State_State2,Region_North,Region_South,block_key,cluster_dbscan,Fraud_Flag
Joseph Washington,1948-09-16,11925841532,"11853 Dennis Lodge Suite 356, Lake Danahaven, MT 58183",Farmer Pension,State,2575.28,2020-11-20,Monthly,282387096064,IFSC3122,DistrictA,State1,North,1,2575.28,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,jos_north,46,Suspicious
Christopher Conley DVM,1954-08-09,801982833996,"930 Alexander Spring, Sanchezfort, GA 39722",Widow Pension,State,3045.95,2021-03-31,Monthly,801249554642,IFSC7963,DistrictA,State1,South,1,3045.95,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Michael Reynolds,1935-09-29,666713369368,"577 Murphy Trail, Port Aliciamouth, ID 59694",Disability Pension,State,4437.92,2023-02-05,Monthly,770476675030,IFSC5930,DistrictC,State1,South,1,4437.92,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Michael Lloyd,1938-01-17,15046180691,"37483 Petersen Hill Suite 470, Michaelmouth, SD 13093",Disability Pension,Central,1342.93,2022-08-28,Monthly,986449875372,IFSC4564,DistrictA,State1,North,1,1342.93,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Michelle Wheeler,1956-08-14,687208483218,"585 Malone Points Apt. 174, Kevinfort, MD 67264",Farmer Pension,State,2984.68,2021-05-26,Monthly,148334922743,IFSC1595,DistrictA,State2,North,1,2984.68,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Thomas Gibson,1949-10-07,317581212125,"0278 Rachel Grove, Johnsonchester, KY 07655",Farmer Pension,Central,3798.59,2021-01-15,Monthly,371121127748,IFSC8195,DistrictA,State2,North,1,3798.59,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,tho_north,27,Suspicious
Andrea Brown,1940-08-29,584120115675,"130 Carolyn Port Suite 129, East Williamburgh, AL 53467",Old Age Pension,State,1440.36,2021-10-20,Monthly,446041373228,IFSC4234,DistrictA,State2,North,1,1440.36,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Joshua Kent,1942-05-20,31319659573,"20678 Mckinney River Apt. 348, Williamland, NJ 64580",Widow Pension,State,1381.79,2020-10-12,Monthly,712696477244,IFSC6256,DistrictB,State1,North,1,1381.79,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,jos_north,46,Suspicious
Anthony Parks,1955-08-29,755119132472,"PSC 3206, Box 4282, APO AP 75636",Farmer Pension,Central,1319.63,2020-07-24,Quarterly,006942395312,IFSC6319,DistrictB,State1,North,1,1319.63,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,ant_north,80,Suspicious
Micheal Baker,1954-09-29,891458663485,"Unit 4379 Box 5984, DPO AE 98805",Farmer Pension,State,2948.39,2020-12-09,Monthly,662478798737,IFSC9063,DistrictB,State1,North,1,2948.39,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Steve Nixon,1951-07-09,158974040906,"86683 Wolfe Mountain, Lake Julietown, NM 46189",Widow Pension,State,1480.91,2021-05-30,Monthly,202541792617,IFSC3897,DistrictA,State1,South,1,1480.91,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,ste_south,58,Suspicious
Michael Dixon,1947-06-11,643503263445,"36299 Wong Track Apt. 071, West Samanthamouth, MA 07345",Disability Pension,Central,2708.26,2024-08-28,Quarterly,298404027159,IFSC8353,DistrictC,State2,North,1,2708.26,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Christopher Williams,1954-08-01,734565278798,"120 Phillip Ports Suite 404, Fuentesland, NV 92656",Disability Pension,Central,2621.64,2022-06-29,Monthly,434910026788,IFSC3528,DistrictA,State1,South,1,2621.64,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
D. Martinez,1949-08-10,461618187596,"0249 Todd Villages, East Justin, MI 85950",Farmer Pension,Central,5503.62,2020-06-06,Quarterly,IFSC0972,IFSC0972,DistrictB,State1,South,2,8008.91,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,d. _south,156,Suspicious
R. Price,1934-09-12,408775021112,"783 Walker Parkways Suite 362, Lake Reginaldmouth, IA 08423",Widow Pension,Central,7071.06,2021-07-03,Monthly,IFSC2405,IFSC2405,DistrictC,State2,South,2,11949.97,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,r. _south,157,Suspicious
S. Rice,1950-06-13,870945787312,"07104 Katherine Road, Jessicaborough, IN 76692",Disability Pension,State,4794.97,2025-01-22,Monthly,IFSC1279,IFSC1279,DistrictA,State1,North,2,7385.07,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,s. _north,158,Suspicious
S. Robinson,1949-04-10,568331080902,"5569 Wilson Pike, Lake Christophershire, OR 57420",Farmer Pension,Central,5683.16,2021-03-09,Monthly,IFSC9974,IFSC9974,DistrictC,State1,North,2,9657.03,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,s. _north,158,Suspicious
A. Collins,1943-12-01,541231721471,"16652 Davis Walks Apt. 643, Sethberg, NV 64714",Old Age Pension,Central,7043.6,2023-11-16,Monthly,IFSC0616,IFSC0616,DistrictA,State1,South,3,21338.77,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,a. _south,159,Suspicious
D. Robinson,1936-03-20,150709992836,"USNV Fischer, FPO AA 98615",Widow Pension,State,3585.23,2023-09-06,Monthly,IFSC6412,IFSC6412,DistrictA,State1,South,2,5076.77,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,d. _south,156,Suspicious
S. Anderson,1945-06-14,428831301655,"4329 Holloway Fort Suite 821, West Michael, AR 53284",Widow Pension,Central,6585.32,2025-02-06,Quarterly,IFSC2136,IFSC2136,DistrictA,State2,North,2,10370.22,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,s. _north,158,Suspicious
A. King,1938-05-20,396187661333,"638 Dennis Roads Suite 817, Gardnerview, NJ 34363",Old Age Pension,Central,4928.53,2023-05-07,Monthly,IFSC7195,IFSC7195,DistrictC,State1,South,2,7749.059999999999,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,a. _south,159,Suspicious
A. Collins,1943-12-01,541231721471,"16652 Davis Walks Apt. 643, Sethberg, NV 64714",Farmer Pension,Central,9600.43,2023-11-16,Monthly,IFSC0616,IFSC0616,DistrictA,State1,South,3,21338.77,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,a. _south,159,Suspicious
S. Miller,1939-09-22,675461728509,"411 Vincent Plaza Apt. 157, East Melissastad, ME 42012",Farmer Pension,State,4373.03,2021-10-19,Monthly,IFSC1305,IFSC1305,DistrictA,State2,North,2,6220.099999999999,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,s. _north,158,Suspicious
D. Ramirez,1945-12-18,150019579466,"12665 Vance Terrace Apt. 415, Smithton, WI 86307",Disability Pension,State,5961.5,2024-01-17,Quarterly,IFSC7007,IFSC7007,DistrictC,State2,South,2,10534.57,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,d. _south,156,Suspicious
D. Proctor,1964-01-10,333296155347,"5968 Hughes Dale Apt. 228, Klineburgh, IL 65010",Old Age Pension,State,4398.88,2022-06-26,Monthly,IFSC1559,IFSC1559,DistrictC,State2,South,2,7684.46,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,d. _south,156,Suspicious
S. Sanders,1958-12-02,974332983595,"7039 Lamb Radial, Robersonburgh, LA 44859",Farmer Pension,Central,7235.6,2023-02-15,Quarterly,IFSC7088,IFSC7088,DistrictA,State1,North,2,11959.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,s. _north,158,Suspicious
D. Patton,1949-07-29,113368485564,"040 Peters Gateway, Sharonberg, WA 96883",Farmer Pension,Central,7488.85,2023-02-11,Monthly,IFSC4182,IFSC4182,DistrictB,State1,South,2,12482.11,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,d. _south,156,Suspicious
R. Brown,1941-05-25,402780276106,"15188 Jason Islands Suite 007, West Jeffery, VA 83409",Widow Pension,State,5507.57,2020-08-17,Monthly,IFSC8635,IFSC8635,DistrictB,State1,South,2,9953.98,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,r. _south,157,Suspicious
D. Garcia,1960-02-12,554213322939,"4863 Martha Path, North Jamie, IL 93928",Farmer Pension,Central,5963.39,2024-10-05,Quarterly,IFSC4250,IFSC4250,DistrictB,State1,South,2,9428.65,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,d. _south,156,Suspicious
