Name,DOB,Aadhaar/SSN,Address,Bank Account,IFSC,District,State,Region,Pension Scheme,Pension Type,Amount,Disbursement Date,Frequency
Darshit Boase,1958-06-26,995164929481,"989, Bhat Chowk, Bulandshahr-263064",771458633679,IFSC9555,Raebareli,Meghalaya,South,Disability Pension,State,9874,2025-04-01,Monthly
Darshit Boase,1958-06-26,995164929481,"989, Bhat Chowk, Bulandshahr-263064",771458633679,IFSC9555,Raebareli,Meghalaya,South,Widow Pension,State,2688,2025-03-31,Quarterly
Zara Shenoy,1948-03-31,725707454779,"52/718, Doshi, Howrah 849121",792283559707,IFSC4821,Warangal,Uttarakhand,East,Farmer Pension,Central,8789,2025-01-26,Quarterly
Emir Jain,1963-01-02,237915429233,"H.No. 40, Tailor, Giridih-379109",546265907625,IFSC8127,Muzaffarnagar,Chhattisgarh,East,Farmer Pension,State,5387,2025-01-25,Quarterly
Farhan Chaudhari,1944-10-25,179164447835,"H.No. 19, Khatri Street, Alwar-800258",121959945513,IFSC1377,Gandhinagar,West Bengal,Central,Old Age Pension,Central,7828,2025-04-03,Quarterly
Aarush Ganesan,1963-11-12,893645438317,"H.No. 776, Vora Chowk, Tezpur-363112",656046599578,IFSC8647,Coimbatore,Madhya Pradesh,South,Old Age Pension,Central,4883,2025-01-21,Quarterly
Yakshit Bakshi,1965-03-16,377720632583,"H.No. 126, Chaudhry Chowk, Raiganj-507322",950220392418,IFSC4668,Bongaigaon,Uttar Pradesh,East,Widow Pension,State,5273,2025-01-16,Quarterly
Oorja Dua,1964-06-27,961527148785,"919, Bhasin Road, Raurkela Industrial Township 514247",638569289994,IFSC2480,Chennai,Mizoram,North,Old Age Pension,Central,4143,2025-01-30,Monthly
Kartik Som,1949-03-21,686779128848,"58/070, Vala Zila, Rohtak 527161",848481970665,IFSC7465,Bhiwandi,Rajasthan,South,Disability Pension,State,5570,2025-03-30,Monthly
Umang Dash,1961-09-17,512911399639,"033, Malhotra Chowk, Bareilly-708044",884397843808,IFSC4547,Pondicherry,Uttar Pradesh,South,Widow Pension,State,8816,2025-03-11,Monthly
Krish Garde,1962-11-21,278591695379,"H.No. 24, Bora Nagar, Srinagar-981765",363902801993,IFSC7337,Akola,Uttar Pradesh,East,Widow Pension,State,7665,2025-01-11,Monthly
Taran Bahri,1949-12-20,282555124264,"15, Bava Zila, Korba 788801",848127879216,IFSC7883,Durg,Odisha,East,Retirement Pension,State,5104,2025-01-10,Quarterly
Vidur Gala,1944-10-03,485622976470,"H.No. 485, Chaudhuri Street, Katihar 566390",562875453567,IFSC7877,Nandyal,Bihar,Central,Retirement Pension,Central,7517,2025-02-18,Quarterly
Madhup Saha,1957-02-15,693040561550,"57/95, Brar Zila, Hyderabad 578806",887737298947,IFSC2624,Guwahati,Himachal Pradesh,Central,Old Age Pension,Central,1171,2025-01-30,Monthly
Zara Sundaram,1951-06-02,340676781814,"H.No. 11, Kakar Circle, Parbhani-829984",281173729013,IFSC3065,Tiruppur,Assam,Central,Farmer Pension,Central,4830,2025-03-09,Quarterly
Zara Sundaram,1951-06-02,340676781814,"H.No. 11, Kakar Circle, Parbhani-829984",281173729013,IFSC3065,Tiruppur,Assam,Central,Farmer Pension,State,4996,2025-03-26,Quarterly
Zara Sundaram,1951-06-02,340676781814,"H.No. 11, Kakar Circle, Parbhani-829984",281173729013,IFSC3065,Tiruppur,Assam,Central,Widow Pension,State,7466,2025-03-18,Quarterly
Samaira Dasgupta,1962-03-30,889770799154,"399, Saraf, Arrah 327529",908052736464,IFSC4918,Malegaon,Mizoram,North,Old Age Pension,Central,3997,2025-01-13,Monthly
Kimaya Shenoy,1954-11-27,978870195936,"85/39, Ramakrishnan Chowk, Meerut-293238",165940681377,IFSC5817,Ozhukarai,Kerala,North,Retirement Pension,Central,4647,2025-01-01,Monthly
Kimaya Shenoy,1954-11-27,978870195936,"85/39, Ramakrishnan Chowk, Meerut-293238",165940681377,IFSC5817,Ozhukarai,Kerala,North,Retirement Pension,State,8976,2025-01-15,Monthly
Neelofar Hans,1965-03-30,202840527596,"H.No. 67, Shere Circle, Gwalior-416351",777464789281,IFSC5192,Bettiah,West Bengal,Central,Disability Pension,Central,7339,2025-01-12,Monthly
Urvi Lala,1952-08-07,147677703522,"08/421, Majumdar Marg, Kirari Suleman Nagar 713384",887305847431,IFSC4803,Bokaro,West Bengal,East,Retirement Pension,Central,7221,2025-02-03,Quarterly
Damini Kulkarni,1953-06-16,645794956824,"H.No. 509, D’Alia, Delhi 643991",192626949664,IFSC6872,Alappuzha,Nagaland,West,Old Age Pension,State,8509,2025-02-02,Monthly
Ela Kala,1961-07-01,131082052851,"209, Bajwa Circle, Ujjain-065467",288444464429,IFSC2641,Naihati,Chhattisgarh,South,Retirement Pension,State,4849,2025-02-07,Quarterly
Tiya Mandal,1955-04-04,520294374256,"12, Sangha Ganj, Burhanpur-809428",563378210015,IFSC8892,Pudukkottai,Tamil Nadu,East,Old Age Pension,State,6752,2025-01-07,Monthly
Misha Bhattacharyya,1957-11-21,691790777351,"H.No. 82, Mani Marg, Kozhikode 923357",533887154685,IFSC3143,South Dumdum,Jharkhand,West,Disability Pension,Central,5724,2025-01-10,Quarterly
Taimur Shankar,1947-10-27,763030656585,"44, Kalita Path, Dhule 666353",673500324832,IFSC5528,Vijayawada,Arunachal Pradesh,North,Farmer Pension,State,8173,2025-03-16,Monthly
Tanya Uppal,1949-11-16,930756523219,"H.No. 33, Ganguly Marg, Nizamabad-173643",661737731937,IFSC3233,Anand,Himachal Pradesh,South,Disability Pension,State,7594,2025-02-14,Monthly
Vihaan Andra,1944-03-11,987753047477,"07/163, Sethi Path, Guna 814466",178442064441,IFSC5142,Belgaum,Uttarakhand,South,Farmer Pension,State,8131,2025-02-25,Quarterly
Arhaan Sama,1950-04-21,802664425941,"412, Chaudhary Marg, Dewas-486957",793230458829,IFSC1947,Guntakal,Sikkim,East,Old Age Pension,State,6322,2025-03-15,Monthly
Eshani Chanda,1945-05-09,510911145147,"02/42, Srivastava Zila, Varanasi-158641",310471789645,IFSC1882,Secunderabad,Kerala,North,Farmer Pension,State,3746,2025-03-13,Quarterly
Seher Sidhu,1948-12-31,189402123801,"79/89, Buch Path, Bardhaman-111929",389318957617,IFSC9175,Munger,Haryana,West,Farmer Pension,State,7659,2025-01-24,Quarterly
Seher Sidhu,1948-12-31,189402123801,"79/89, Buch Path, Bardhaman-111929",389318957617,IFSC9175,Munger,Haryana,West,Retirement Pension,Central,1148,2025-03-07,Quarterly
Anya Brar,1943-03-23,520659664852,"474, Gulati Marg, Raipur-435823",674487251058,IFSC8915,Rourkela,Odisha,South,Old Age Pension,Central,8902,2025-03-13,Quarterly
Anya Sarraf,1963-05-11,139554109884,"H.No. 254, Gola Circle, Sonipat 243614",856223821545,IFSC3077,Mira-Bhayandar,Tamil Nadu,East,Widow Pension,Central,2055,2025-02-15,Quarterly
Shanaya Thaman,1948-12-30,267387485355,"61, Sen Chowk, Karimnagar 919909",948633852307,IFSC4438,Khammam,Arunachal Pradesh,East,Old Age Pension,Central,4129,2025-01-04,Monthly
Oorja Andra,1949-06-11,523633639506,"47/156, Bhagat Nagar, Bhatpara-061991",195935256965,IFSC7775,Ongole,Tripura,West,Disability Pension,State,4433,2025-02-12,Quarterly
Sumer Sunder,1965-02-09,727626787736,"46/32, Madan Road, Jehanabad 182846",143544854848,IFSC2488,Ichalkaranji,Punjab,East,Widow Pension,State,8842,2025-03-23,Monthly
Raghav Gill,1962-04-12,256294362196,"H.No. 10, Kaur Path, Miryalaguda-321924",580030155849,IFSC6089,Etawah,Maharashtra,East,Old Age Pension,State,8093,2025-03-23,Quarterly
Romil Varghese,1960-05-27,491588872008,"77/737, Mandal Ganj, Thane 422219",938985494956,IFSC9545,Solapur,Mizoram,West,Retirement Pension,State,6629,2025-03-14,Quarterly
Divit Wable,1943-03-11,814673323721,"91/85, Rattan, Amroha-499524",755798219124,IFSC4079,Panipat,Arunachal Pradesh,North,Retirement Pension,State,6078,2025-01-27,Quarterly
Manjari Gade,1951-08-31,202705957866,"17/899, Soman Chowk, Tenali 076468",973441429202,IFSC9674,Kottayam,Tripura,South,Farmer Pension,Central,2139,2025-01-22,Monthly
Trisha Sheth,1948-03-23,633527691584,"18/90, Kapadia, Berhampur 220116",201972855148,IFSC4065,Guwahati,Assam,East,Retirement Pension,State,3958,2025-02-04,Quarterly
Vedika Hayre,1961-05-27,272393624599,"H.No. 45, Rege Ganj, Jalgaon-520297",651457239585,IFSC8398,Ratlam,Assam,West,Retirement Pension,Central,5263,2025-03-18,Monthly
Miraan Lanka,1953-06-12,942748537646,"H.No. 914, Gulati Path, Amravati 902531",869388977439,IFSC4041,Mehsana,Karnataka,Central,Widow Pension,State,6342,2025-01-08,Monthly
Miraan Lanka,1953-06-12,942748537646,"H.No. 914, Gulati Path, Amravati 902531",869388977439,IFSC4041,Mehsana,Karnataka,Central,Widow Pension,Central,4875,2025-04-03,Monthly
Zaina Sundaram,1958-07-07,911222175148,"H.No. 178, Biswas Chowk, Tadipatri 792221",202960142903,IFSC4030,Dhule,Gujarat,Central,Retirement Pension,State,3634,2025-02-21,Quarterly
Kartik Zachariah,1957-07-01,314684204182,"437, Hari Road, Satna-695469",647160203702,IFSC1021,Junagadh,Maharashtra,North,Widow Pension,Central,8697,2025-03-21,Monthly
Riya Som,1939-10-11,813925277633,"93/72, Warrior Road, Ballia-043042",979237959835,IFSC7404,Warangal,Nagaland,East,Widow Pension,State,9022,2025-03-26,Monthly
Eva Sankar,1952-01-13,647333213040,"10/431, Dutt Road, Vadodara-466713",336268664750,IFSC4206,Raipur,Meghalaya,South,Farmer Pension,Central,1967,2025-01-22,Quarterly
Elakshi Sarraf,1943-06-21,533531267517,"00, Lad Circle, Ambarnath-933203",999403799719,IFSC9425,Amaravati,Bihar,North,Old Age Pension,Central,8050,2025-03-27,Monthly
Neelofar Dube,1942-11-01,707561433736,"85, Mannan, Shahjahanpur-454998",279839583956,IFSC2267,Bhimavaram,Himachal Pradesh,West,Old Age Pension,State,8306,2025-02-24,Quarterly
Vedika Dayal,1951-04-11,781227520933,"91/82, Sharma Nagar, Yamunanagar 781899",980574750081,IFSC2888,Bongaigaon,West Bengal,North,Old Age Pension,State,6255,2025-03-17,Quarterly
Myra Chaudhuri,1963-01-30,513953786089,"67/76, Bahl Ganj, Kolhapur 124150",961204214000,IFSC7255,Nagpur,Odisha,West,Farmer Pension,Central,9742,2025-02-05,Monthly
Abram Setty,1956-03-02,954569953911,"97, Subramaniam Zila, Mirzapur 068071",427687864542,IFSC8069,Moradabad,Tripura,North,Widow Pension,State,8747,2025-03-15,Monthly
Badal Johal,1958-05-05,463726108212,"H.No. 723, Ratta Circle, Khammam-886794",577796353321,IFSC3714,Madanapalle,Andhra Pradesh,West,Disability Pension,State,1467,2025-01-06,Quarterly
Kiaan Ganguly,1957-12-19,478995670151,"645, Loke Path, Ambala-298913",246381070570,IFSC4407,Munger,Madhya Pradesh,North,Retirement Pension,State,9616,2025-03-02,Monthly
Tanya Gupta,1947-01-10,559487523690,"76/527, Guha Ganj, Serampore-073258",253308476114,IFSC4924,Medininagar,Maharashtra,West,Farmer Pension,State,2765,2025-01-01,Monthly
Farhan Bhattacharyya,1958-10-02,470147433903,"H.No. 57, Chakraborty Path, Thoothukudi 417654",115811607242,IFSC8171,Darbhanga,Odisha,South,Widow Pension,Central,7788,2025-02-13,Monthly
Tiya Dayal,1950-05-08,199162996231,"71, Venkatesh Marg, Alappuzha-916030",288653972605,IFSC7395,Tenali,Odisha,West,Old Age Pension,Central,1893,2025-03-02,Quarterly
Tarini Varughese,1942-03-28,433187732378,"H.No. 89, Mand Ganj, Mehsana-809103",780895564193,IFSC2284,Jaipur,Uttarakhand,South,Widow Pension,State,4096,2025-03-30,Quarterly
Tarini Varughese,1942-03-28,433187732378,"H.No. 89, Mand Ganj, Mehsana-809103",780895564193,IFSC2284,Jaipur,Uttarakhand,South,Farmer Pension,Central,5841,2025-03-03,Monthly
Abram Baria,1948-04-29,844680396238,"63, Sandhu Ganj, Parbhani-922720",845175645693,IFSC6687,Ramgarh,Arunachal Pradesh,South,Widow Pension,State,5796,2025-01-27,Quarterly
Nirvaan Bala,1956-02-07,870077425307,"H.No. 732, Char Path, Bhubaneswar 026419",554487120756,IFSC1775,Warangal,Haryana,North,Disability Pension,Central,5069,2025-03-10,Quarterly
Ehsaan Bala,1946-08-22,711887074607,"12/164, Vig Nagar, Adoni 887507",628419244970,IFSC1562,Mirzapur,Uttarakhand,West,Farmer Pension,Central,4682,2025-03-08,Monthly
Darshit Shere,1940-12-04,537922862492,"69, Vora Path, Pudukkottai 702261",752420956578,IFSC4169,Udaipur,Mizoram,East,Widow Pension,State,8626,2025-02-26,Monthly
Hridaan Dayal,1956-12-10,745702705978,"H.No. 438, Saxena Zila, Karnal 304654",340469011488,IFSC9054,Ichalkaranji,Haryana,Central,Farmer Pension,Central,6988,2025-03-16,Quarterly
Misha Kadakia,1950-12-16,220805166828,"54/046, Iyer Marg, Ujjain-922934",393764070041,IFSC2313,Kharagpur,Bihar,Central,Retirement Pension,Central,6606,2025-01-10,Quarterly
Prerak Sarkar,1958-06-08,563966339516,"87/70, Halder Street, Tenali 953626",808910368215,IFSC9059,Ghaziabad,Karnataka,East,Disability Pension,State,2297,2025-03-27,Quarterly
Elakshi Sandal,1948-03-10,664479918050,"H.No. 61, Chadha Chowk, Ambattur 687292",422061574910,IFSC8411,Gudivada,Telangana,North,Widow Pension,Central,5219,2025-01-17,Quarterly
Anaya Rastogi,1950-04-01,632307892114,"07, Sandal, Berhampore 924796",460618506110,IFSC1476,Dindigul,Maharashtra,South,Widow Pension,State,2428,2025-03-14,Quarterly
Anaya Rastogi,1950-04-01,632307892114,"07, Sandal, Berhampore 924796",460618506110,IFSC1476,Dindigul,Maharashtra,South,Retirement Pension,Central,4826,2025-01-05,Quarterly
Suhana Shah,1939-12-27,191162642605,"11/49, Mannan Zila, Bhalswa Jahangir Pur 851508",374459922548,IFSC1429,Mehsana,Telangana,East,Farmer Pension,State,8570,2025-04-02,Quarterly
Zeeshan Dar,1943-02-19,882494438950,"33/887, Sarraf, Ichalkaranji 434564",246732583560,IFSC3116,Madurai,Kerala,West,Widow Pension,State,5886,2025-02-25,Quarterly
Kabir Rege,1946-08-01,183211955145,"H.No. 90, Choudhry Nagar, Secunderabad 480514",348376640556,IFSC3234,Gwalior,Andhra Pradesh,West,Disability Pension,State,9504,2025-02-27,Monthly
Anvi Tailor,1963-11-21,522613688614,"374, Virk, Kottayam 511171",718659570139,IFSC1720,Jehanabad,Sikkim,Central,Farmer Pension,State,5209,2025-02-01,Quarterly
Kabir Bumb,1948-05-04,575797765845,"H.No. 920, Tiwari Road, Etawah 924156",342668440294,IFSC3560,Amritsar,Madhya Pradesh,North,Farmer Pension,State,5657,2025-03-26,Monthly
Jivika Bhargava,1944-06-27,201211986073,"00, Andra Road, Parbhani 313578",482606767122,IFSC3910,Yamunanagar,Mizoram,Central,Widow Pension,State,9686,2025-01-02,Quarterly
Tiya Dash,1942-07-13,873894755731,"H.No. 672, Dasgupta Nagar, Raipur-846922",875267218661,IFSC8773,Ramagundam,Maharashtra,North,Retirement Pension,Central,1276,2025-02-26,Quarterly
Taimur Bali,1957-11-28,282231422864,"40/89, Bala Nagar, Jalandhar-487676",247134802053,IFSC3518,Jalandhar,Chhattisgarh,North,Retirement Pension,State,5182,2025-03-20,Monthly
Anahita Deol,1955-06-19,860433450865,"792, Karnik Road, Chapra-586052",193447437670,IFSC4285,Naihati,Himachal Pradesh,West,Farmer Pension,Central,1895,2025-02-06,Quarterly
Aradhya Sharma,1947-07-02,410464661138,"88, Mannan Circle, Morbi-164393",884241113494,IFSC9255,Amritsar,Chhattisgarh,Central,Retirement Pension,Central,9217,2025-02-05,Monthly
Vritika Keer,1947-11-21,153416882067,"80, Mall Zila, Dhule 948111",625287769598,IFSC8164,Madurai,Goa,West,Old Age Pension,Central,5900,2025-03-07,Monthly
Shray Kade,1959-12-28,911241321691,"H.No. 525, Sidhu Circle, Ambarnath-479663",774887886701,IFSC8273,Jalna,Meghalaya,West,Old Age Pension,State,7526,2025-04-06,Quarterly
Neysa Sibal,1948-03-10,222559434308,"H.No. 531, Chopra Zila, Dehradun-907822",383702505069,IFSC3159,Madurai,Assam,South,Farmer Pension,State,7452,2025-02-03,Monthly
Arnav Johal,1947-12-30,135514231544,"60/23, Loke, Silchar 012619",717827190110,IFSC9160,Thrissur,Odisha,North,Disability Pension,Central,7045,2025-01-20,Monthly
Raghav Mall,1949-02-02,745438650043,"H.No. 12, Kulkarni Circle, Thrissur 529026",326382670788,IFSC7511,Mira-Bhayandar,Haryana,North,Disability Pension,State,1269,2025-02-27,Monthly
Yuvraj  Choudhury,1956-12-14,447481678636,"35, Setty Circle, Kochi 971241",945455573442,IFSC7650,Berhampur,West Bengal,Central,Widow Pension,State,6048,2025-03-24,Quarterly
Amani Dubey,1946-04-24,152984654926,"277, Ratti, Rajahmundry-793188",755394692587,IFSC1287,Panihati,Haryana,North,Disability Pension,State,7802,2025-03-06,Monthly
Samiha Kala,1958-03-22,536232332205,"691, Dara Path, Agartala-974390",619859418682,IFSC5790,Adoni,Jharkhand,South,Farmer Pension,State,6218,2025-02-14,Quarterly
Zaina Mane,1952-06-18,434998607521,"993, Saxena Road, Sasaram-496396",840767004325,IFSC8171,Kochi,Assam,East,Old Age Pension,State,8447,2025-03-03,Quarterly
Renee Kibe,1959-09-29,201503906073,"H.No. 050, Bassi Road, Durgapur 107624",831226922489,IFSC4802,Sambhal,Andhra Pradesh,West,Retirement Pension,State,9392,2025-03-05,Quarterly
Yasmin Choudhary,1943-06-21,424389380053,"05/885, Biswas Chowk, Ujjain-325524",751106212015,IFSC5389,Morbi,Kerala,West,Disability Pension,Central,3908,2025-02-06,Monthly
Khushi Atwal,1957-09-10,598357772242,"99/24, Suri Road, Phagwara 216410",282044715705,IFSC4215,Pune,Karnataka,West,Disability Pension,Central,9073,2025-02-23,Monthly
Anika Sandhu,1946-06-08,240829481501,"308, Kashyap Ganj, Tirupati 703516",918994568973,IFSC3632,Bidar,Bihar,South,Widow Pension,Central,3153,2025-01-06,Quarterly
Lavanya Vyas,1946-08-26,944163933495,"033, Sundaram Marg, Giridih-145422",107938519472,IFSC6009,Kishanganj,Punjab,North,Farmer Pension,Central,4900,2025-02-02,Monthly
Ira Kar,1960-02-17,654331640777,"704, Tandon Ganj, Shimoga-698865",424954083686,IFSC7325,Meerut,Maharashtra,East,Widow Pension,Central,1166,2025-02-23,Quarterly
Kabir Dhar,1941-08-13,286377386374,"986, Acharya Road, Saharsa 888311",740262713919,IFSC9039,Mira-Bhayandar,Bihar,South,Disability Pension,State,1705,2025-02-21,Quarterly
Kabir Mannan,1948-07-17,512955562334,"00/053, Bava Nagar, Kochi 476465",779607352521,IFSC4419,Mirzapur,Uttarakhand,South,Retirement Pension,Central,4282,2025-04-04,Monthly
Krish Soman,1959-07-13,398822952397,"619, Kala Marg, Begusarai-130995",254828727481,IFSC7061,Ratlam,Goa,East,Old Age Pension,State,4817,2025-01-19,Monthly
Nakul Deol,1960-08-09,383754396992,"15/570, Singhal Street, Haridwar-890636",837889460981,IFSC5546,Munger,Kerala,Central,Widow Pension,Central,5031,2025-03-09,Monthly
Ryan Sawhney,1950-08-26,663808160677,"07, Babu Ganj, Jalgaon-142250",705429473529,IFSC5263,Guntakal,Haryana,Central,Widow Pension,State,4193,2025-02-16,Monthly
Tanya Bhardwaj,1939-11-18,948694130929,"21, Choudhury Nagar, Chandigarh 970386",715175964108,IFSC5360,Surendranagar Dudhrej,Maharashtra,East,Retirement Pension,Central,2538,2025-02-10,Monthly
Tanya Bhardwaj,1939-11-18,948694130929,"21, Choudhury Nagar, Chandigarh 970386",715175964108,IFSC5360,Surendranagar Dudhrej,Maharashtra,East,Disability Pension,Central,7712,2025-03-09,Monthly
Tanya Bhardwaj,1939-11-18,948694130929,"21, Choudhury Nagar, Chandigarh 970386",715175964108,IFSC5360,Surendranagar Dudhrej,Maharashtra,East,Farmer Pension,State,8551,2025-02-07,Quarterly
Ayesha Choudhary,1953-12-02,424058570229,"818, Bakshi Street, Bally-505647",224961969133,IFSC4680,Anantapur,Nagaland,East,Disability Pension,Central,9440,2025-03-15,Quarterly
Hunar Biswas,1959-04-16,396913414434,"H.No. 322, Madan Path, Kurnool-800105",556473918311,IFSC2912,Purnia,Chhattisgarh,South,Retirement Pension,Central,8035,2025-03-22,Quarterly
Darshit Joshi,1964-12-19,564130593238,"53/59, Ratta Street, Hapur-447391",890395163606,IFSC5401,Tadepalligudem,Tamil Nadu,South,Old Age Pension,State,8244,2025-03-13,Quarterly
Darshit Joshi,1964-12-19,564130593238,"53/59, Ratta Street, Hapur-447391",890395163606,IFSC5401,Tadepalligudem,Tamil Nadu,South,Old Age Pension,Central,6805,2025-03-07,Monthly
Lagan Kakar,1957-04-26,725579520884,"55, Kashyap Chowk, Kota-220221",658069607977,IFSC5351,Aurangabad,Kerala,North,Widow Pension,Central,6014,2025-01-14,Quarterly
Stuvan Rajagopal,1946-09-05,662044015644,"047, Bajaj Street, Allahabad-041350",738223989030,IFSC8692,Nellore,Arunachal Pradesh,North,Disability Pension,Central,4598,2025-02-24,Quarterly
Ehsaan Kala,1959-05-30,164121994066,"493, Reddy Nagar, Thane-421885",153130187109,IFSC3365,Jodhpur,Goa,North,Old Age Pension,Central,5830,2025-02-16,Monthly
Tara Saini,1955-05-12,460240992724,"H.No. 57, Chakrabarti Street, Lucknow-600369",854053670109,IFSC5395,Narasaraopet,Andhra Pradesh,East,Disability Pension,Central,5545,2025-02-13,Monthly
Neelofar Kapoor,1952-05-20,868928041447,"01/11, Khalsa, Bhiwandi 191131",666646664687,IFSC6028,Mumbai,Manipur,Central,Old Age Pension,State,7797,2025-01-18,Quarterly
Ranbir Varghese,1950-12-22,189806269859,"314, Dara Road, Indore-413735",102722775390,IFSC2137,Sangli-Miraj & Kupwad,Andhra Pradesh,East,Old Age Pension,State,9809,2025-03-17,Monthly
Devansh Jayaraman,1964-07-26,776994660644,"61/632, Ramachandran Circle, South Dumdum-863866",947557520445,IFSC7619,Buxar,Jharkhand,South,Old Age Pension,State,9266,2025-02-24,Quarterly
Pihu Lalla,1962-04-08,150129341239,"50, Talwar Nagar, Guwahati-478362",855253199055,IFSC8825,Howrah,Tamil Nadu,East,Old Age Pension,State,3684,2025-03-22,Monthly
Ela Sant,1958-11-18,891594540824,"171, Bawa Street, Howrah-599217",641088705211,IFSC9620,Satara,Sikkim,North,Old Age Pension,Central,3193,2025-02-03,Monthly
Shalv Ben,1953-04-12,963120692081,"01/225, Bhagat Circle, Amravati 398481",264551311575,IFSC7389,Kanpur,Uttarakhand,North,Disability Pension,State,1197,2025-03-23,Monthly
Ishita Mangat,1945-04-13,478515280461,"84/681, Sarraf Marg, Nizamabad 648589",928906460375,IFSC9395,Arrah,Odisha,North,Widow Pension,Central,4637,2025-02-25,Quarterly
Fateh Kalita,1964-08-15,147661897502,"59/956, Kade Chowk, Alwar 947728",363246550342,IFSC6514,Noida,Mizoram,North,Farmer Pension,Central,7412,2025-01-29,Monthly
Shamik Shere,1954-04-29,153511700392,"56/69, Lal Street, Madanapalle-875864",334129026841,IFSC8721,Parbhani,Himachal Pradesh,North,Old Age Pension,Central,2711,2025-01-21,Quarterly
Rania Zacharia,1947-08-28,139185214775,"709, Bhagat Marg, Gwalior 928150",882420374732,IFSC9230,Sikar,Chhattisgarh,Central,Farmer Pension,State,6528,2025-03-04,Monthly
Jayant Mammen,1950-02-01,171319269403,"26, Gopal Zila, Dhanbad 082480",162536853549,IFSC3984,Bellary,Manipur,East,Farmer Pension,Central,5426,2025-03-19,Quarterly
Taran Kara,1958-08-14,627932845126,"86/68, Taneja Street, Hindupur-468016",779612946338,IFSC4113,Naihati,Madhya Pradesh,West,Disability Pension,Central,2299,2025-04-01,Monthly
Ayesha Vaidya,1944-07-23,773293078064,"058, Devan, Surat-275531",212050096760,IFSC3467,Sultan Pur Majra,Kerala,East,Disability Pension,State,9896,2025-01-16,Quarterly
Reyansh Bumb,1944-08-22,392512624504,"39, Shanker Path, Morbi 902176",354194026165,IFSC5437,Jamshedpur,West Bengal,South,Widow Pension,State,2500,2025-02-07,Monthly
Hiran Dyal,1963-11-12,449172872226,"95/29, Rege Chowk, Unnao-315173",683526658876,IFSC4190,Shimla,Bihar,East,Farmer Pension,State,2762,2025-02-19,Quarterly
Ojas Bora,1946-03-22,200264435311,"429, Taneja Nagar, Vijayanagaram-283662",351919124616,IFSC6929,Bokaro,Uttarakhand,North,Widow Pension,State,3055,2025-01-24,Monthly
Saanvi Bansal,1940-01-20,650996505552,"08/73, Chakrabarti Street, Nangloi Jat 854921",581106385417,IFSC2626,Jaunpur,Maharashtra,North,Retirement Pension,State,8313,2025-02-06,Quarterly
Bhavin Sharaf,1953-04-20,386010193071,"H.No. 028, Banerjee Nagar, Kurnool 044348",152199088928,IFSC9443,Ranchi,Andhra Pradesh,Central,Retirement Pension,Central,4860,2025-03-09,Monthly
Ishaan Malhotra,1951-08-16,969700774057,"97/31, Agate Circle, Guwahati 035662",591664715553,IFSC4219,Secunderabad,Karnataka,West,Disability Pension,State,6575,2025-02-20,Quarterly
Yasmin Bail,1959-02-02,340292771032,"86/967, Krishnamurthy Nagar, Yamunanagar-477044",387999502842,IFSC6731,Varanasi,Karnataka,North,Disability Pension,State,1262,2025-02-01,Monthly
Saksham Agrawal,1953-01-30,519062257542,"H.No. 425, Vyas Road, Alwar 285023",400060565118,IFSC5982,Begusarai,Tamil Nadu,North,Disability Pension,Central,5777,2025-02-06,Monthly
Sumer Kapur,1955-03-15,743270242893,"59, Dhawan Circle, Kavali 414185",603307678597,IFSC8888,Giridih,Uttarakhand,East,Widow Pension,Central,1035,2025-03-03,Monthly
Farhan Aggarwal,1943-08-19,104880905179,"H.No. 00, Mandal Ganj, Bhubaneswar 040242",212692820824,IFSC9515,Junagadh,Odisha,South,Old Age Pension,Central,9686,2025-03-02,Monthly
Aarush Saraf,1952-05-06,206085934106,"51/82, Chowdhury Ganj, Morbi 185540",542536581142,IFSC7543,Bhimavaram,Karnataka,South,Farmer Pension,Central,8455,2025-02-18,Monthly
Aarna Vyas,1955-02-03,192012172657,"787, Chad Zila, Silchar 153957",619276284474,IFSC1662,Visakhapatnam,Sikkim,West,Farmer Pension,Central,2486,2025-03-15,Monthly
Vedika Dey,1959-10-27,311124364828,"815, Choudhury Marg, Khandwa 774110",414783726344,IFSC2452,Khandwa,Maharashtra,North,Retirement Pension,Central,9455,2025-02-01,Monthly
Sana Thaman,1940-12-26,444002873889,"64/144, Sodhi, Kulti 699868",214741418910,IFSC6206,Bhiwani,Chhattisgarh,West,Farmer Pension,Central,7723,2025-03-21,Monthly
Vanya Sahota,1946-05-21,631376149597,"39/835, Reddy Road, Surendranagar Dudhrej-614403",906670500226,IFSC8603,Gopalpur,Madhya Pradesh,North,Farmer Pension,Central,8299,2025-02-11,Quarterly
Anay Mahajan,1952-11-25,976397931841,"23/29, Doctor Nagar, Tadipatri 912106",582190034954,IFSC7726,Tiruchirappalli,Mizoram,South,Old Age Pension,State,1550,2025-04-06,Quarterly
Kiaan Sachar,1941-02-08,409451729081,"988, Bora Ganj, Srikakulam 211183",369320941569,IFSC1910,Bikaner,Kerala,West,Widow Pension,State,2014,2025-02-06,Monthly
Aarna Wason,1941-02-05,466367323288,"798, Batta Chowk, Asansol 957671",741917925693,IFSC9003,Sambalpur,Madhya Pradesh,East,Retirement Pension,State,6925,2025-02-21,Monthly
